site,ido,keido,train,hour,minute,rinji
42,36.31713957,136.3385152,up2,7,24,
43,36.32083619,136.3508146,up2,7,26,
44,36.32382481,136.3657497,up2,7,26,
45,36.32421804,136.3843941,up2,7,27,
46,36.32799296,136.4002077,up2,7,28,
47,36.33860895,136.4188521,up2,7,29,
48,36.35228964,136.4327134,up2,7,30,
49,36.37147,136.4419868,up2,7,31,
50,36.38349462,136.4493079,up2,7,31,
51,36.39944599,136.4526268,up2,7,32,
52,36.40281336,136.4527486,up2,7,34,
53,36.41610106,136.4543839,up2,7,34,
54,36.42968959,136.4625835,up2,7,35,
55,36.44429656,136.4800566,up2,7,36,
56,36.46643737,136.493625,up2,7,37,
57,36.4834705,136.5069983,up2,7,38,
58,36.50842473,136.5352089,up2,7,39,
59,36.5253142,136.5629901,up2,7,41,
60,36.53535544,136.5850922,up2,7,41,
61,36.55283912,136.6205407,up2,7,43,
62,36.56697342,136.6395826,up2,7,44,
63,36.57823804,136.6475734,up2,7,45,
1,35.64539102,136.0768759,up3,7,26,
